absolument,0.293
étonnamment,0.293
terriblement,0.293
complètement,0.293
complétement,0.293
completement,0.293
considérablement,0.293
considerablement,0.293
considèrablement,0.293
résolument,0.293
profondément,0.293
profondement,0.293
effing,0.293
énormément,0.293
entièrement,0.293
entiérement,0.293
entierement,0.293
surtout,0.293
extrêmement,0.293
extrémement,0.293
extrèmement,0.293
extremement,0.293
fabuleusement,0.293
retournement,0.293
pleinement,0.293
grandement,0.293
fortement,0.293
énormément,0.293
énormement,0.293
incroyablement,0.293
intensément,0.293
principalement,0.293
particulièrement,0.293
particulierement,0.293
purement,0.293
vraiment,0.293
remarquablement,0.293
complètement,0.293
complétement,0.293
completement,0.293
totalement,0.293
énormément,0.293
incroyablement,0.293
inhabituellement,0.293
trés,0.293
tres,0.293
trop,0.293
massivement,0.293
serieusement,0.293
surpris,0.293
grosses,0.293
grosse,0.293
follement,0.293
presque,-0.293
àpeine,-0.293
apeine,-0.293
peine,-0.293
justeassez,-0.293
genrede,-0.293
unpeu,-0.293
genrede,-0.293
moins,-0.293
peu,-0.293
parfois,-0.293
occasionnellement,-0.293
enpartie,-0.293
légèrement,-0.293
legerement,-0.293
légerement,-0.293
unpeu,-0.293
enquelquesorte,-0.293
quasiment,-0.293
pratiquement,-0.293
quasi,-0.293
